,address,Total,First Ticket Date,Last Ticket Date,Days,Daily Avg,Lat,Lng,zipcode,Traffic Loc Found,Radius,Traffic Address,Date_count,Total Volume,Vol by Direction,Ticket per 1000 AADT
0,1 E 63RD ST,12038,3/3/2014,4/27/2018,1517,7.935398813,41.7800473,-87.625323,60637.0,3.0,500.0,120 East 63rd St,2006-03-28T08:00:00.000Z,12400.0,East Bound: 7800 / West Bound: 4600,1.2799030343548385
1,1 E 75TH STREET,15159,3/1/2014,4/27/2018,1519,9.979591837000001,41.7582934,-87.6163157,60619.0,5.0,500.0,504 East 75th St,2006-03-28T08:00:00.000Z,16100.0,East Bound: 8500 / West Bound: 7600,1.2397008493167705
2,1 E 79TH STREET,38135,3/1/2014,4/27/2018,1519,25.10533246,41.750619,-87.624256,60619.0,2.0,500.0,20 East 79th St,2006-03-28T08:00:00.000Z,20700.0,East Bound: 11300 / West Bound: 9400,2.4256359864734303
3,1 N ASHLAND AVE,7229,3/1/2014,4/27/2018,1519,4.759052008,41.8995927,-87.66760889999998,60622.0,7.0,500.0,755 North Ashland Ave,2006-10-26T07:00:00.000Z,30500.0,North Bound: 15800 / South Bound: 14700,0.31206898413114753
4,1 N HALSTED STREET,5696,3/1/2014,4/27/2018,1519,3.749835418,41.882168799999995,-87.6469767,60661.0,14.0,500.0,159 North Halsted St,2006-10-02T07:00:00.000Z,20000.0,North Bound: 10200 / South Bound: 9800,0.3749835418
5,1 N HAMLIN AVENUE,5680,3/1/2014,4/27/2018,1519,3.739302172,41.8809719,-87.72072990000002,60624.0,7.0,500.0,114 North Hamlin Ave,2006-10-12T07:00:00.000Z,15500.0,North Bound: 8200 / South Bound: 7300,0.4824906028387097
6,1 S CENTRAL AVENUE,1071,3/4/2014,3/5/2015,367,2.918256131,41.880303000000005,-87.7648588,60644.0,2.0,500.0,211 South Central Ave,2006-10-18T07:00:00.000Z,25400.0,North Bound: 10900 / South Bound: 14500,0.22978394732283466
7,1 S HALSTED STREET,6177,3/1/2014,4/27/2018,1519,4.0664911130000005,41.881693799999994,-87.64732099999998,60607.0,12.0,500.0,159 North Halsted St,2006-10-02T07:00:00.000Z,20000.0,North Bound: 10200 / South Bound: 9800,0.4066491113000001
8,1 S WESTERN AVE,3391,3/1/2014,4/27/2018,1519,2.23238973,41.88116289999999,-87.6863587,60612.0,9.0,500.0,220 North Western Ave,2006-10-24T07:00:00.000Z,34400.0,North Bound: 16800 / South Bound: 17600,0.12979010058139534
9,100 E JACKSON BLVD,477,2/5/2018,4/27/2018,82,5.8170731710000005,41.878288500000004,-87.62456170000002,60604.0,24.0,500.0,350 East Jackson Dr,2006-09-28T07:00:00.000Z,17600.0,East Bound: 8900 / West Bound: 8700,0.6610310421590909
10,100 E ONTARIO ST,275,2/5/2018,4/27/2018,82,3.353658537,41.8935406,-87.6250385,60611.0,14.0,500.0,51 West Ontario St,2006-09-26T07:00:00.000Z,18400.0,West Bound: 18400/ Oneway West Bound ,0.364528101847826
11,100 N CICERO AVENUE,18476,3/1/2014,4/27/2018,1519,12.16326531,41.881862700000006,-87.74535240000002,60644.0,3.0,500.0,206 South Cicero Ave,2006-10-23T07:00:00.000Z,33700.0,North Bound: 16800 / South Bound: 16900,0.7218555080118694
12,100 W CHICAGO AVENUE,18792,3/1/2014,4/27/2018,1519,12.37129691,41.8966503,-87.63124570000001,60654.0,12.0,500.0,54 West Chicago Ave,2006-09-19T07:00:00.000Z,23000.0,East Bound: 11700 / West Bound: 11300,1.075764948695652
13,1000 W FOSTER AVE,2811,3/2/2014,4/27/2018,1518,1.851778656,41.9763823,-87.65499439999998,60640.0,6.0,500.0,909 West Foster Ave,2006-08-24T07:00:00.000Z,20200.0,East Bound: 10000 / West Bound: 10200,0.18334442138613863
14,1000 W HOLLYWOOD AVE,28004,3/1/2014,4/27/2018,1519,18.43581303,41.9855424,-87.65526799999998,60660.0,3.0,500.0,1050 West Hollywood Ave,2007-06-19T07:00:00.000Z,35200.0,East Bound: 18200 / West Bound: 17000,1.0474893767045454
15,10300 S HALSTED STREE,6363,3/10/2014,10/26/2017,1327,4.795026375,41.7069011,-87.6429158,60628.0,6.0,1000.0,10621 South Halsted St,2006-08-31T07:00:00.000Z,31800.0,North Bound: 17400 / South Bound: 14400,0.3015739858490566
16,10318 S INDIANAPOLIS,137386,3/1/2014,4/27/2018,1519,90.44502962,41.7074982,-87.5299841,60617.0,2.0,500.0,10320 South Indianapolis Ave,2006-05-11T07:00:00.000Z,38500.0,North Bound: 19200 / South Bound: 19300,4.6984430971428575
17,1110 S PULASKI RD,12684,10/20/2014,4/27/2018,1286,9.863141524,41.867625200000006,-87.72522839999998,60624.0,6.0,1000.0,1539 South Pulaski Rd,2006-09-12T07:00:00.000Z,21700.0,North Bound: 11600 / South Bound: 10100,0.909045301751152
18,11100 S HALSTED ST,10106,4/9/2014,4/27/2018,1480,6.828378377999999,41.692088,-87.642776,60628.0,4.0,1000.0,10621 South Halsted St,2006-08-31T07:00:00.000Z,31800.0,North Bound: 17400 / South Bound: 14400,0.42945775962264143
19,11100 S VINCENNES AVE,3488,3/10/2014,3/5/2015,361,9.662049861,41.6917107,-87.6640809,60643.0,5.0,1000.0,10748 South Vincennes Ave,2006-03-21T08:00:00.000Z,18000.0,North Bound: 8800 / South Bound: 9200,1.0735610956666666
20,1111 N HUMBOLDT,85298,3/1/2014,4/27/2018,1519,56.15404872,41.902824100000004,-87.7022868,60622.0,,,,,,,
21,11144 S VINCENNES,18799,3/3/2014,4/27/2018,1517,12.39222149,41.691241,-87.66395870000001,60643.0,5.0,1000.0,10748 South Vincennes Ave,2006-03-21T08:00:00.000Z,18000.0,North Bound: 8800 / South Bound: 9200,1.376913498888889
22,11153 S VINCENNES,8459,3/3/2014,4/27/2018,1517,5.576137113,41.690687100000005,-87.663989,60643.0,5.0,1000.0,10748 South Vincennes Ave,2006-03-21T08:00:00.000Z,18000.0,North Bound: 8800 / South Bound: 9200,0.6195707903333334
23,1117 S PULASKI RD,11032,10/20/2014,4/27/2018,1286,8.578538103,41.86741600000001,-87.724874,60624.0,6.0,1000.0,346 South Pulaski Rd,2006-10-04T07:00:00.000Z,23800.0,North Bound: 12200 / South Bound: 11600,0.7208855548739496
