address,Total,First Ticket Date,Last Ticket Date,Days,Daily Avg,Lat,Lng,zipcode
1 E 63RD ST,12038,3/3/2014,4/27/2018,1517,7.935398813,41.7800473,-87.625323,60637
1 E 75TH STREET,15159,3/1/2014,4/27/2018,1519,9.979591837000001,41.7582934,-87.6163157,60619
1 E 79TH STREET,38135,3/1/2014,4/27/2018,1519,25.10533246,41.750619,-87.624256,60619
1 N ASHLAND AVE,7229,3/1/2014,4/27/2018,1519,4.759052008,41.8995927,-87.66760889999999,60622
1 N HALSTED STREET,5696,3/1/2014,4/27/2018,1519,3.749835418,41.8821688,-87.6469767,60661
1 N HAMLIN AVENUE,5680,3/1/2014,4/27/2018,1519,3.739302172,41.8809719,-87.72072990000001,60624
1 S CENTRAL AVENUE,1071,3/4/2014,3/5/2015,367,2.918256131,41.880303,-87.7648588,60644
1 S HALSTED STREET,6177,3/1/2014,4/27/2018,1519,4.0664911130000005,41.8816938,-87.64732099999999,60607
1 S WESTERN AVE,3391,3/1/2014,4/27/2018,1519,2.23238973,41.8811629,-87.6863587,60612
100 E JACKSON BLVD,477,2/5/2018,4/27/2018,82,5.8170731710000005,41.8782885,-87.6245617,60604
100 E ONTARIO ST,275,2/5/2018,4/27/2018,82,3.353658537,41.8935406,-87.6250385,60611
100 N CICERO AVENUE,18476,3/1/2014,4/27/2018,1519,12.16326531,41.8818627,-87.74535240000002,60644
100 W CHICAGO AVENUE,18792,3/1/2014,4/27/2018,1519,12.37129691,41.8966503,-87.6312457,60654
1000 W FOSTER AVE,2811,3/2/2014,4/27/2018,1518,1.851778656,41.9763823,-87.65499439999999,60640
1000 W HOLLYWOOD AVE,28004,3/1/2014,4/27/2018,1519,18.43581303,41.9855424,-87.65526799999999,60660
10300 S HALSTED STREE,6363,3/10/2014,10/26/2017,1327,4.795026375,41.7069011,-87.6429158,60628
10318 S INDIANAPOLIS,137386,3/1/2014,4/27/2018,1519,90.44502962,41.7074982,-87.5299841,60617
1110 S PULASKI RD,12684,10/20/2014,4/27/2018,1286,9.863141524,41.8676252,-87.72522839999999,60624
11100 S HALSTED ST,10106,4/9/2014,4/27/2018,1480,6.828378377999999,41.692088,-87.642776,60628
11100 S VINCENNES AVE,3488,3/10/2014,3/5/2015,361,9.662049861,41.6917107,-87.6640809,60643
1111 N HUMBOLDT,85298,3/1/2014,4/27/2018,1519,56.15404872,41.9028241,-87.7022868,60622
11144 S VINCENNES,18799,3/3/2014,4/27/2018,1517,12.39222149,41.691241,-87.6639587,60643
11153 S VINCENNES,8459,3/3/2014,4/27/2018,1517,5.576137113,41.6906871,-87.663989,60643
1117 S PULASKI RD,11032,10/20/2014,4/27/2018,1286,8.578538103,41.86741600000001,-87.724874,60624
1142 W IRVING PARK,122147,3/1/2014,4/27/2018,1519,80.41277156,41.9546686,-87.6580804,60613
115 N OGDEN,63417,3/10/2014,4/27/2018,1510,41.99801325,41.8832433,-87.6642048,60607
11500 S HALSTED STREE,13617,3/1/2014,10/26/2017,1336,10.19236527,41.6847759,-87.6426073,60628
11900 S HALSTED,7482,3/1/2014,4/27/2018,1519,4.925608953,41.6778022,-87.64196539999999,60628
1200 N ASHLAND AVENUE,8833,3/1/2014,4/27/2018,1519,5.815009875,41.9035648,-87.66790069999999,60622
1200 N HALSTED,10589,3/2/2014,4/27/2018,1518,6.975625823,41.904475,-87.64726499999999,60642
1200 N PULASKI ROAD,6697,3/2/2014,4/27/2018,1518,4.411725955,41.9026863,-87.7262915,60651
1200 S CANAL STREET,7850,3/1/2014,4/27/2018,1519,5.167873601,41.8671978,-87.6392226,60607
1200 S KOSTNER,5060,3/1/2014,4/27/2018,1519,3.3311389069999997,41.8660382,-87.7349632,60623
1200 S PULASKI ROAD,4698,3/1/2014,4/27/2018,1519,3.0928242260000003,41.8661652,-87.7251651,60623
1200 W DEVON AVE,4141,3/1/2014,4/27/2018,1519,2.726135616,41.9982019,-87.6605947,60660
1200 W FOSTER AVE,3063,3/1/2014,4/27/2018,1519,2.016458196,41.976322,-87.6599485,60640
1226 N WESTERN AVE,12647,4/9/2014,4/27/2018,1480,8.54527027,41.9038917,-87.68743669999999,60622
1229 N WESTERN AVE,25744,4/9/2014,4/27/2018,1480,17.39459459,41.9036445,-87.686614,60622
1300 W IRVING PARK ROAD,6587,3/5/2014,4/27/2018,1515,4.347854785,41.9545689,-87.662741,60613
1315 W GARFIELD BLVD,60904,5/7/2014,4/27/2018,1452,41.94490358,41.7935389,-87.6580036,60636
1334 W GARFIELD BLVD,71099,5/7/2014,4/27/2018,1452,48.96625344,41.7943113,-87.65986459999999,60609
14 W CHICAGO AVE,1356,9/2/2014,4/27/2018,1334,1.016491754,41.8969209,-87.6290844,60654
140 N ASHLAND,19005,3/23/2014,4/27/2018,1497,12.69539078,41.8846727,-87.66733049999999,60607
140 W KINZIE,2280,3/4/2014,4/27/2018,1516,1.503957784,41.8893526,-87.6327878,60654
141 N ASHLAND,11194,3/23/2014,4/14/2018,1484,7.543126685,41.8840721,-87.66679789999999,60607
1440 W CERMAK RD,23779,10/16/2014,4/27/2018,1290,18.43333333,41.8527502,-87.6628147,60608
150 N SACRAMENTO BOUL,13488,3/1/2014,4/27/2018,1519,8.879526004,41.8838183,-87.7014741,60612
1507 W 83rd ST,7875,11/24/2014,4/27/2018,1251,6.294964029,41.7430948,-87.66138219999999,60620
1600 E 79TH ST,3356,3/1/2014,4/27/2018,1519,2.209348255,41.751701,-87.58519,60649
1600 E 83RD STREET,1224,3/1/2014,3/5/2015,370,3.3081081080000003,41.7441969,-87.5853515,60617
1600 E 95TH STREET,13841,3/22/2014,5/30/2017,1166,11.87049743,41.7223518,-87.5849123,60617
1600 N HALSTED STREET,5465,3/1/2014,4/27/2018,1519,3.597761685,41.911144,-87.64860499999999,60614
1600 N HOMAN AVENUE,2088,3/1/2014,4/27/2018,1519,1.374588545,41.9101058,-87.711861,60647
1600 N KOSTNER,1314,4/1/2014,4/27/2018,1488,0.8830645159999999,41.9098165,-87.736238,60639
1600 N PULASKI AVENUE,1783,3/2/2014,4/27/2018,1518,1.174571805,41.9099336,-87.7263195,60639
1600 N WESTERN AVE,6576,3/1/2014,4/27/2018,1519,4.3291639239999995,41.9105708,-87.6875967,60647
1600 W 63RD STREET,579,3/1/2014,3/5/2015,370,1.564864865,41.7796491,-87.66456749999999,60636
1600 W 71ST,5058,3/1/2014,4/27/2018,1519,3.3298222510000004,41.7649048,-87.6638595,60636
1600 W 87TH ST,7314,3/1/2014,4/27/2018,1519,4.815009875,41.7358365,-87.6631652,60620
1600 W 95TH STREET,6109,3/1/2014,4/27/2018,1519,4.021724819,41.7213629,-87.6624896,60643
1600 W CORTLAND ST,6012,3/3/2014,4/27/2018,1517,3.9630850360000003,41.91611100000001,-87.6678976,60622
1600 W DIVERSEY PARKWA,1229,3/1/2014,3/5/2015,370,3.321621622,41.93240120000001,-87.6684698,60614
1600 W DIVISION STREET,3388,3/1/2014,4/27/2018,1519,2.2304147469999998,41.9034353,-87.667766,60622
1600 W GARFIELD BLVD,1542,3/1/2014,3/4/2015,369,4.178861789,41.794293,-87.66495499999999,60609
1600 W IRVING PARK ROA,2883,3/6/2014,4/27/2018,1514,1.9042272130000002,41.9545365,-87.66948409999999,60613
1600 W LAWRENCE AVENUE,5426,3/17/2014,4/27/2018,1503,3.610113107,41.96887299999999,-87.6695026,60640
1600 W MADISON,5014,3/1/2014,4/27/2018,1519,3.3008558260000003,41.881702,-87.66717,60612
1635 N ASHLAND AVE,17813,4/21/2014,4/27/2018,1468,12.13419619,41.91163239999999,-87.66742029999999,60622
1638 N ASHLAND AVE,7452,4/21/2014,4/27/2018,1468,5.076294278,41.9114263,-87.6679639,60622
1754 N PULASKI RD,6589,12/23/2015,4/27/2018,857,7.688448075,41.913182,-87.7267954,60639
18 W SUPERIOR ST,241,5/12/2014,4/12/2018,1432,0.16829608899999998,41.895983,-87.62900599999999,60654
19 W CHICAGO AVE,1933,9/2/2014,4/27/2018,1334,1.449025487,41.896362,-87.6290609,60654
1900 N ASHLAND AVE,25669,3/1/2014,4/27/2018,1519,16.89861751,41.9173485,-87.6677316,60642
1901 E 75TH ST,28995,6/15/2014,4/27/2018,1413,20.52016985,41.758596,-87.5786904,60649
200 N UPPER WACKER DR,958,3/5/2018,4/27/2018,54,17.74074074,41.8856486,-87.6373287,60606
200 W GARFIELD BLVD,15757,3/7/2014,4/27/2018,1513,10.41440846,41.79472519999999,-87.6319041,60609
2000 E 79TH STREET,625,3/1/2014,3/5/2015,370,1.6891891890000001,41.7519006,-87.5756849,60649
2000 E 95TH ST,1885,3/3/2014,4/27/2018,1517,1.242584047,41.72308,-87.5757689,60617
2000 N CICERO AVENUE,3537,3/2/2014,4/27/2018,1518,2.3300395259999997,41.9169352,-87.7461694,60639
2000 N KEDZIE AVENUE,7231,3/3/2014,4/27/2018,1517,4.766644693,41.9173959,-87.7070366,60647
2000 N WESTERN AVENUE,840,3/1/2014,3/5/2015,370,2.27027027,41.9177584,-87.6877683,60647
2000 W DIVERSEY PARKWAY,4768,3/8/2014,4/27/2018,1512,3.1534391530000003,41.93256,-87.6790534,60614
2000 W DIVISION,16547,3/1/2014,4/27/2018,1519,10.89335089,41.9034133,-87.6774693,60622
2000 W FULLERTON AVE,9624,3/1/2014,4/24/2018,1516,6.34828496,41.9251721,-87.6779389,60647
2080 W PERSHING,19432,3/1/2014,4/27/2018,1519,12.79262673,41.82307249999999,-87.67634629999999,60609
2108 S WESTERN AVE,3537,6/9/2014,4/27/2018,1419,2.4926004230000003,41.85352899999999,-87.68606,60608
2109 E 87TH ST,16041,11/3/2014,4/27/2018,1272,12.61084906,41.7368683,-87.5728172,60617
2115 S WESTERN AVE,5994,6/9/2014,4/27/2018,1419,4.22410148,41.853383,-87.68531899999999,60608
215 E 63RD ST,44216,11/10/2014,4/27/2018,1265,34.95335968,41.7801415,-87.61936720000001,60637
2200 S PULASKI,5372,3/1/2014,4/27/2018,1519,3.5365371960000003,41.8512639,-87.7248798,60623
2200 S WESTERN AVENUE,6727,3/1/2014,4/27/2018,1519,4.428571429,41.85149759999999,-87.68699079999999,60608
2326 W CERMAK RD,1019,4/21/2014,4/27/2018,1468,0.6941416890000001,41.852321,-87.684365,60608
2329 W DIVISION ST,6297,4/9/2014,4/27/2018,1480,4.25472973,41.9027003,-87.68628530000001,60622
2335 W CERMAK RD,2260,4/21/2014,4/27/2018,1468,1.5395095369999998,41.851787,-87.684759,60608
2348 S KOSTNER AVENUE,6272,3/1/2014,4/27/2018,1519,4.1290322580000005,41.848177,-87.734724,60623
2400 N ASHLAND AVENUE,24267,3/1/2014,4/27/2018,1519,15.97564187,41.9253097,-87.6684047,60614
2400 N CENTRAL AVENUE,1228,3/1/2014,4/27/2018,1519,0.8084265959999999,41.9241783,-87.765999,60639
2400 N CICERO AVE,4505,3/7/2014,4/27/2018,1513,2.97752809,41.9242812,-87.7463576,60639
2400 N CLARK ST,4421,3/1/2014,4/27/2018,1519,2.910467413,41.926054,-87.6412215,60614
2400 N DAMEN AVE,437,3/1/2014,5/27/2015,453,0.964679912,41.9250338,-87.6778891,60647
2400 N HALSTED STREET,3295,3/12/2014,4/26/2018,1507,2.186463172,41.9253221,-87.64889110000001,60614
2400 N LARAMIE AVENUE,1048,3/6/2014,4/26/2018,1513,0.692663582,41.9255424,-87.7562643,60639
2400 N PULASKI RD,1586,3/1/2014,4/27/2018,1519,1.0441079659999999,41.9245481,-87.7267583,60639
2400 N WESTERN AVENUE,14461,3/1/2014,4/27/2018,1519,9.520078998999999,41.9252406,-87.6878816,60647
2400 W 51ST ST,254,3/1/2014,3/5/2015,370,0.686486486,41.8011479,-87.68421409999999,60609
2400 W 55TH STREET,7314,3/1/2014,4/27/2018,1519,4.815009875,41.7939129,-87.6841202,60609
2400 W 63RD ST,1833,3/1/2014,4/27/2018,1519,1.206714944,41.7794,-87.6839023,60629
2400 W 71ST STREET,1192,3/3/2014,5/31/2017,1186,1.005059022,41.7646892,-87.6833053,60629
2400 W 79TH ST,1045,4/17/2014,4/27/2018,1472,0.709918478,41.7501598,-87.68292860000001,60652
2400 W ADDISON,2624,3/1/2014,4/27/2018,1519,1.727452271,41.9467392,-87.6883363,60618
2400 W CERMAK ROAD,2105,3/1/2014,4/26/2018,1518,1.3866930169999998,41.8521763,-87.6858855,60608
2400 W CHICAGO AVE,2975,3/1/2014,4/27/2018,1519,1.9585253459999998,41.8957377,-87.68690989999999,60622
2400 W DIVERSEY AVENUE,1167,3/3/2014,4/27/2018,1517,0.769281477,41.9322859,-87.6882167,60647
2400 W FOSTER AVE,7685,3/29/2014,4/27/2018,1491,5.154258887,41.97589,-87.6892146,60625
2400 W LAWRENCE AVENUE,3882,3/1/2014,4/27/2018,1519,2.555628703,41.9686074,-87.6889733,60625
2400 W MADISON,2684,3/1/2014,4/25/2018,1517,1.7692814769999998,41.8813635,-87.6866861,60612
2400 W MARQUETTE ROAD,3980,3/1/2014,4/27/2018,1519,2.620144832,41.7719709,-87.6835069,60629
2400 W MONTROSE AVENUE,1726,3/15/2014,4/26/2018,1504,1.147606383,41.9613354,-87.6887765,60625
2400 W NORTH AVE,3095,3/1/2014,4/27/2018,1519,2.037524687,41.9106774,-87.6875416,60647
2400 W PERSHING ROAD,4577,3/1/2014,5/31/2017,1188,3.852693603,41.8229821,-87.6842494,60609
2400 W PETERSON,9284,4/2/2014,4/27/2018,1487,6.243443173999999,41.9905554,-87.6902817,60659
2400 W VAN BUREN STREET,13245,3/1/2014,4/27/2018,1519,8.719552337,41.876088,-87.68637170000001,60612
2416 S BLUE ISLAND AV,1369,3/2/2014,3/5/2015,369,3.7100271,41.8487412,-87.6763239,60608
2416 S DAMEN AVENUE,1613,3/1/2014,3/5/2015,370,4.359459459,41.8480533,-87.67611649999999,60608
2416 W 103RD ST,4215,11/30/2014,4/27/2018,1245,3.385542169,41.7065991,-87.68244840000001,60655
2417 W 103RD ST,1818,11/30/2014,4/23/2018,1241,1.464947623,41.7060529,-87.6825805,60655
2426 N DAMEN AVE,1839,8/14/2017,4/27/2018,257,7.1556420229999995,41.9256416,-87.6779387,60647
2432 N ASHLAND,12033,3/10/2014,4/27/2018,1510,7.9688741720000005,41.9261772,-87.66854959999999,60614
2440 W 51ST ST,2484,4/9/2014,4/27/2018,1480,1.6783783780000001,41.8012482,-87.6856734,60632
2443 N ASHLAND,62851,3/10/2014,4/27/2018,1510,41.62317881,41.9264599,-87.6678397,60614
2445 W 51ST ST,1291,4/9/2014,4/27/2018,1480,0.872297297,41.80086800000001,-87.686154,60632
2448 N CLYBOURN AVE,20421,5/11/2014,4/27/2018,1448,14.10290055,41.9261431,-87.6709113,60614
2513 W 55TH,26942,3/3/2014,4/27/2018,1517,17.76005274,41.7935194,-87.68737709999999,60629
2549 W ADDISON,55126,3/17/2014,4/27/2018,1503,36.67731204,41.9467155,-87.6920014,60618
2550 W 79TH,6988,3/6/2014,4/27/2018,1514,4.615587847,41.7507576,-87.6874895,60652
2600 S KEDZIE AVENUE,5774,3/1/2014,4/27/2018,1519,3.80118499,41.8444774,-87.7050747,60623
2603 W 79TH,6233,3/3/2014,4/27/2018,1517,4.108767304,41.749752,-87.68790600000001,60652
2705 W IRVING PARK,141750,3/1/2014,4/27/2018,1519,93.31797235,41.95391130000001,-87.69574740000002,60618
2712 W IRVING PARK,39464,3/1/2014,4/27/2018,1519,25.98025016,41.9540511,-87.6952531,60618
