date,Daily Total
2014-03-01,3234
2014-03-02,2861
2014-03-03,3679
2014-03-04,4195
2014-03-05,3191
2014-03-06,4265
2014-03-07,4782
2014-03-08,4097
2014-03-09,4124
2014-03-10,4863
2014-03-11,3962
2014-03-12,3447
2014-03-13,4604
2014-03-14,5473
2014-03-15,5140
2014-03-16,4982
2014-03-17,5566
2014-03-18,5845
2014-03-19,4192
2014-03-20,5660
2014-03-21,6549
2014-03-22,5198
2014-03-23,4613
2014-03-24,5772
2014-03-25,5076
2014-03-26,5900
2014-03-27,4480
2014-03-28,5354
2014-03-29,5208
2014-03-30,5427
2014-03-31,6072
2014-04-01,5641
2014-04-02,6038
2014-04-03,4747
2014-04-04,5729
2014-04-05,5587
2014-04-06,4851
2014-04-07,6548
2014-04-08,4777
2014-04-09,7529
2014-04-10,6922
2014-04-11,8368
2014-04-12,5346
2014-04-13,4118
2014-04-14,3940
2014-04-15,4879
2014-04-16,5119
2014-04-17,5397
2014-04-18,4758
2014-04-19,5613
2014-04-20,5827
2014-04-21,6155
2014-04-22,6834
2014-04-23,7170
2014-04-24,6674
2014-04-25,7676
2014-04-26,5344
2014-04-27,4923
2014-04-28,5250
2014-04-29,6290
2014-04-30,6540
2014-05-01,5829
2014-05-02,6665
2014-05-03,5880
2014-05-04,4994
2014-05-05,7266
2014-05-06,7668
2014-05-07,8264
2014-05-08,8743
2014-05-09,8217
2014-05-10,6146
2014-05-11,5231
2014-05-12,7955
2014-05-13,7145
2014-05-14,7276
2014-05-15,6579
2014-05-16,6419
2014-05-17,6544
2014-05-18,5903
2014-05-19,7680
2014-05-20,7850
2014-05-21,7788
2014-05-22,7252
2014-05-23,7317
2014-05-24,5031
2014-05-25,5955
2014-05-26,4861
2014-05-27,6847
2014-05-28,6909
2014-05-29,7490
2014-05-30,7953
2014-05-31,5789
2014-06-01,5265
2014-06-02,6472
2014-06-03,7354
2014-06-04,4864
2014-06-05,6881
2014-06-06,7596
2014-06-07,5502
2014-06-08,5246
2014-06-09,6608
2014-06-10,4959
2014-06-11,6198
2014-06-12,7094
2014-06-13,7837
2014-06-14,5779
2014-06-15,5316
2014-06-16,4627
2014-06-17,4200
2014-06-18,4040
2014-06-19,4586
2014-06-20,5206
2014-06-21,5237
2014-06-22,5285
2014-06-23,5562
2014-06-24,6231
2014-06-25,5552
2014-06-26,5800
2014-06-27,6446
2014-06-28,5241
2014-06-29,5359
2014-06-30,5360
2014-07-01,6166
2014-07-02,5205
2014-07-03,6364
2014-07-04,5194
2014-07-05,4973
2014-07-06,4894
2014-07-07,6040
2014-07-08,5840
2014-07-09,6075
2014-07-10,5980
2014-07-11,5822
2014-07-12,4015
2014-07-13,5013
2014-07-14,5651
2014-07-15,5744
2014-07-16,6070
2014-07-17,5937
2014-07-18,5921
2014-07-19,5257
2014-07-20,4827
2014-07-21,5659
2014-07-22,5874
2014-07-23,5941
2014-07-24,5802
2014-07-25,5018
2014-07-26,5024
2014-07-27,4982
2014-07-28,5314
2014-07-29,4390
2014-07-30,4634
2014-07-31,5009
2014-08-01,4517
2014-08-02,5295
2014-08-03,4481
2014-08-04,4124
2014-08-05,4273
2014-08-06,4325
2014-08-07,4514
2014-08-08,4920
2014-08-09,5471
2014-08-10,4622
2014-08-11,3958
2014-08-12,3893
2014-08-13,4330
2014-08-14,4335
2014-08-15,4620
2014-08-16,5114
2014-08-17,4289
2014-08-18,4317
2014-08-19,3799
2014-08-20,3554
2014-08-21,2850
2014-08-22,4650
2014-08-23,4364
2014-08-24,4532
2014-08-25,3619
2014-08-26,4034
2014-08-27,4221
2014-08-28,4219
2014-08-29,4703
2014-08-30,4632
2014-08-31,4663
2014-09-01,3938
2014-09-02,6484
2014-09-03,6259
2014-09-04,4905
2014-09-05,5879
2014-09-06,4652
2014-09-07,4537
2014-09-08,5856
2014-09-09,5346
2014-09-10,4206
2014-09-11,5317
2014-09-12,4543
2014-09-13,5104
2014-09-14,4479
2014-09-15,4764
2014-09-16,5683
2014-09-17,5762
2014-09-18,5674
2014-09-19,5885
2014-09-20,4114
2014-09-21,4081
2014-09-22,5636
2014-09-23,5435
2014-09-24,5505
2014-09-25,5221
2014-09-26,5997
2014-09-27,4410
2014-09-28,4491
2014-09-29,5314
2014-09-30,4479
2014-10-01,5335
2014-10-02,4363
2014-10-03,4600
2014-10-04,3790
2014-10-05,4361
2014-10-06,4844
2014-10-07,4781
2014-10-08,4891
2014-10-09,5015
2014-10-10,4970
2014-10-11,4440
2014-10-12,4360
2014-10-13,2980
2014-10-14,3144
2014-10-15,3749
2014-10-16,4469
2014-10-17,4956
