date,Daily Total
2003-11-01,46
2003-11-02,31
2003-11-03,69
2003-11-04,57
2003-11-05,56
2003-11-06,57
2003-11-07,48
2003-11-08,43
2003-11-09,32
2003-11-10,58
2003-11-11,52
2003-11-12,55
2003-11-13,54
2003-11-14,57
2003-11-15,29
2003-11-16,11
2003-11-17,48
2003-11-18,52
2003-11-19,54
2003-11-20,68
2003-11-21,64
2003-11-22,37
2003-11-23,27
2003-11-24,62
2003-11-25,56
2003-11-26,57
2003-11-27,39
2003-11-28,26
2003-11-29,23
2003-11-30,10
2003-12-01,50
2003-12-02,44
2003-12-03,33
2003-12-04,49
2003-12-05,37
2003-12-06,34
2003-12-07,21
2003-12-08,34
2003-12-09,57
2003-12-10,62
2003-12-11,44
2003-12-12,43
2003-12-13,39
2003-12-14,24
2003-12-15,44
2003-12-16,44
2003-12-17,32
2003-12-18,53
2003-12-19,40
2003-12-20,27
2003-12-21,24
2003-12-22,49
2003-12-23,35
2003-12-24,48
2003-12-25,15
2003-12-26,39
2003-12-27,30
2003-12-28,19
2003-12-29,42
2003-12-30,42
2003-12-31,41
2004-01-01,24
2004-01-02,42
2004-01-03,25
2004-01-04,16
2004-01-05,17
2004-01-06,16
2004-01-07,36
2004-01-08,30
2004-01-09,22
2004-01-10,15
2004-01-11,22
2004-01-12,54
2004-01-13,49
2004-01-14,37
2004-01-15,30
2004-01-16,36
2004-01-17,35
2004-01-18,18
2004-01-19,28
2004-01-20,37
2004-01-21,25
2004-01-22,35
2004-01-23,46
2004-01-24,25
2004-01-25,10
2004-01-26,31
2004-01-27,34
2004-01-28,26
2004-01-29,32
2004-01-30,24
2004-01-31,14
2004-02-01,24
2004-02-02,26
2004-02-03,32
2004-02-04,48
2004-02-05,28
2004-02-06,28
2004-02-07,29
2004-02-08,21
2004-02-09,26
2004-02-10,33
2004-02-11,42
2004-02-12,39
2004-02-13,34
2004-02-14,32
2004-02-15,28
2004-02-16,41
2004-02-17,44
2004-02-18,27
2004-02-19,43
2004-02-20,41
2004-02-21,41
2004-02-22,20
2004-02-23,47
2004-02-24,33
2004-02-25,37
2004-02-26,64
2004-02-27,64
2004-02-28,67
2004-02-29,53
2004-03-01,93
2004-03-02,124
2004-03-03,55
2004-03-04,116
2004-03-05,156
2004-03-06,100
2004-03-07,92
2004-03-08,126
2004-03-09,148
2004-03-10,110
2004-03-11,120
2004-03-12,151
2004-03-13,156
2004-03-14,125
2004-03-15,150
2004-03-16,179
2004-03-17,147
2004-03-18,201
2004-03-19,243
2004-03-20,237
2004-03-21,188
2004-03-22,170
2004-03-23,216
2004-03-24,201
2004-03-25,224
2004-03-26,225
2004-03-27,204
2004-03-28,162
2004-03-29,213
2004-03-30,192
2004-03-31,174
2004-04-01,198
2004-04-02,204
2004-04-03,223
2004-04-04,185
2004-04-05,222
2004-04-06,257
2004-04-07,244
2004-04-08,289
2004-04-09,268
2004-04-10,252
2004-04-11,185
2004-04-12,231
2004-04-13,251
2004-04-14,243
2004-04-15,252
2004-04-16,291
2004-04-17,266
2004-04-18,194
2004-04-19,254
2004-04-20,269
2004-04-21,241
2004-04-22,247
2004-04-23,348
2004-04-24,242
2004-04-25,204
2004-04-26,257
2004-04-27,266
2004-04-28,292
2004-04-29,265
2004-04-30,273
2004-05-01,259
2004-05-02,233
2004-05-03,282
2004-05-04,279
2004-05-05,296
2004-05-06,294
2004-05-07,280
2004-05-08,277
2004-05-09,273
2004-05-10,296
2004-05-11,325
2004-05-12,286
2004-05-13,301
2004-05-14,319
2004-05-15,287
2004-05-16,287
2004-05-17,356
2004-05-18,331
2004-05-19,341
2004-05-20,337
2004-05-21,314
2004-05-22,302
2004-05-23,273
2004-05-24,285
2004-05-25,280
2004-05-26,299
2004-05-27,328
2004-05-28,340
2004-05-29,315
2004-05-30,226
2004-05-31,183
2004-06-01,362
2004-06-02,361
2004-06-03,308
2004-06-04,379
2004-06-05,261
2004-06-06,265
2004-06-07,270
2004-06-08,26
2004-06-09,20
2004-06-10,189
2004-06-11,335
2004-06-12,328
2004-06-13,240
2004-06-14,336
2004-06-15,319
2004-06-16,363
2004-06-17,338
2004-06-18,387
2004-06-19,347
2004-06-20,258
2004-06-21,304
2004-06-22,310
2004-06-23,303
2004-06-24,313
2004-06-25,335
2004-06-26,301
2004-06-27,262
2004-06-28,323
2004-06-29,340
2004-06-30,364
2004-07-01,362
2004-07-02,371
2004-07-03,310
2004-07-04,241
2004-07-05,267
2004-07-06,300
2004-07-07,332
2004-07-08,323
2004-07-09,372
2004-07-10,298
2004-07-11,266
2004-07-12,330
2004-07-13,317
2004-07-14,323
2004-07-15,326
2004-07-16,420
2004-07-17,347
2004-07-18,294
2004-07-19,345
2004-07-20,369
2004-07-21,341
2004-07-22,330
2004-07-23,358
2004-07-24,349
2004-07-25,250
2004-07-26,235
2004-07-27,235
2004-07-28,262
2004-07-29,253
