month,Total,Daily Avg,Percent,Percent Avg
1,425483,3431.314516129032,6.560825767150619,78.72990920580743
2,410798,3635.380530973451,6.951009051748322,83.41210862097988
3,672227,4336.948387096774,8.292437954934714,99.50925545921659
4,673053,4547.655405405405,8.695319133136438,104.34382959763727
5,652615,5263.024193548387,10.063136031354958,120.7576323762595
6,588940,4907.833333333333,9.383995329737125,112.60794395684553
7,592272,4776.387096774193,9.132664286850076,109.59197144220092
8,515051,4153.637096774193,7.94193862550723,95.30326350608678
9,571522,4762.683333333333,9.106462082456654,109.27754498947986
10,551019,4443.701612903225,8.49655486444715,101.9586583733658
11,501476,4178.966666666666,7.9903698882318315,95.88443865878197
12,478951,3862.5080645161293,7.385286984444869,88.62344381333843
