,address,Total,score,similar address
0,4909 N CICERO AVE,255172,0.8823529411764706,4800 N CICERO AVE
1,445 W 127TH,207130,0.7272727272727273,4045 W 55TH
2,2900 W OGDEN,179533,0.6451612903225806,4400 W OGDEN AVENUE
3,4124 W FOSTER AVE,168651,0.8823529411764706,2400 W FOSTER AVE
4,2705 W IRVING PARK,141750,0.8888888888888888,2712 W IRVING PARK
5,10318 S INDIANAPOLIS,137386,0.5128205128205128,1200 S CANAL STREET
6,536 E MORGAN DR,124862,0.5185185185185185,5440 W GRAND
7,1142 W IRVING PARK,122147,0.8888888888888888,2712 W IRVING PARK
8,5816 W JACKSON,113250,0.7857142857142857,3655 W JACKSON
9,6909 S KEDZIE,87249,0.7692307692307693,6818 S KEDZIE
10,3843 S WESTERN,86879,0.8571428571428571,7738 S WESTERN
11,1111 N HUMBOLDT,85298,0.5714285714285714,141 N ASHLAND
12,4831 W LAWRENCE AVE,81054,0.7804878048780488,4440 W LAWRENCE AVENUE
13,4200 S CICERO AVENUE,75061,0.9230769230769231,600 S CICERO AVENUE
14,1334 W GARFIELD BLVD,71099,0.9,1315 W GARFIELD BLVD
15,3646 W MADISON,68560,0.7857142857142857,1600 W MADISON
16,5330 S COTTAGE GROVE,67399,0.9,9500 S COTTAGE GROVE
17,3137 W PETERSON,66348,0.7333333333333333,2400 W PETERSON
18,6226 W IRVING PARK RD,65222,0.8205128205128205,2712 W IRVING PARK
19,115 N OGDEN,63417,0.6086956521739131,2900 W OGDEN
20,2443 N ASHLAND,62851,0.9285714285714286,2432 N ASHLAND
21,6818 S KEDZIE,62490,0.7692307692307693,6909 S KEDZIE
22,6523 N WESTERN,62205,0.8571428571428571,3534 N WESTERN
23,400 W BELMONT AVE,62130,0.9714285714285714,4000 W BELMONT AVE
24,1315 W GARFIELD BLVD,60904,0.9,1334 W GARFIELD BLVD
25,2917 W ROOSEVELT,56256,0.9375,2912 W ROOSEVELT
26,5454 W IRVING PARK,56017,0.8333333333333334,2705 W IRVING PARK
27,2549 W ADDISON,55126,0.8571428571428571,2400 W ADDISON
28,5120 N PULASKI,53836,0.8387096774193549,5200 N PULASKI RD
29,3200 S ARCHER AVE,50365,0.8823529411764706,5400 S ARCHER AVE
30,5030 S PULASKI,48407,0.9285714285714286,5500 S PULASKI
