,address
0,4800 W NORTH AVENUE
1,100 N CICERO AVENUE
2,1600 W GARFIELD BLVD
3,8900 S STONY ISLAND
4,4200 S CICERO AVENUE
5,132 W CERMAK ROAD
6,800 N SACRAMENTO AVEN
7,2400 N PULASKI RD
8,3200 N KEDZIE AVE
9,1 E 75TH STREET
10,9500 S HALSTED STREET
11,3200 W 31ST STREET
12,200 W 69TH STREET
13,5000 S ARCHER AVE
14,5200 W IRVING PARK ROA
15,300 N HAMLIN AVENUE
16,5600 W LAKE STREET
17,200 W GARFIELD BLVD
18,5700 S CORNELL DRIVE
19,4800 N ASHLAND AVENUE
20,3100 S ASHLAND AVENUE
21,4800 N CICERO AVENUE
22,2400 W DIVERSEY AVENUE
23,7600 S STONY ISLAND A
24,3400 W NORTH AVE
25,4400 W DIVISION STREET
26,6800 W GRAND AVENUE
27,11900 S HALSTED
28,2400 N ASHLAND AVENUE
29,4800 W ARMITAGE AVENUE
30,11100 S VINCENNES AVE
31,6400 N SHERIDAN ROAD
32,2200 S WESTERN AVENUE
33,2400 N CENTRAL AVENUE
34,1 S HALSTED STREET
35,6200 N LINCOLN AVENUE
36,7200 W HIGGINS AVENUE
37,5600 W MADISON STREET
38,9500 S JEFFERY AVE
39,1600 W 63RD STREET
40,2800 W DEVON AVENUE
41,3200 W ARMITAGE AVENUE
42,3200 W 63RD ST
43,4800 W BELMONT AVE
44,7900 S HALSTED STREET
45,150 N SACRAMENTO BOUL
46,3500 S WESTERN
47,1200 N ASHLAND AVENUE
48,8300 S STONY ISLAND A
49,1 N HALSTED STREET
50,3200 W 47TH ST
51,800 W 119TH STREET
52,2400 W VAN BUREN STREE
53,4800 W HARRISON STREET
54,2800 N KIMBALL AVENUE
55,800 W ROOSEVELT ROAD
56,2400 W NORTH AVE
57,5600 W BELMONT AVENUE
58,5200 W MADISON STREET
59,4700 S CICERO AVE
60,7100 S WESTERN AVENUE
61,4700 S ASHLAND AVENUE
62,1 E 79TH STREET
63,400 N CENTRAL AVENUE
64,1000 W HOLLYWOOD AVE
65,3200 N PULASKI RD
66,500 W ROOSEVELT ROAD
67,3700 W IRVING PARK ROA
68,8700 S ASHLAND AVE
69,800 E 95TH STREET
70,4000 W 79TH STREET
71,3200 N HARLEM AVE
72,2416 S DAMEN AVENUE
73,4800 W 47TH ST
74,6700 S CORNELL DRIVE
75,8300 S HALSTED STREET
76,600 S CICERO AVENUE
77,400 S WESTERN AVENUE
78,5200 N ELSTON AVENUE
79,2200 S CLARK STREET
80,2400 N HALSTED STREET
81,2200 S PULASKI
82,1200 S KOSTNER
83,800 W FULLERTON AVENUE
84,6400 W DEVON AVENUE
85,3100 S DR MARTIN L KING
86,2400 N WESTERN AVENUE
87,6400 N HARLEM AVE
88,5600 W FULLERTON AVENU
89,4800 N CICERO AVE
90,4000 W IRVING PARK RD
91,1600 E 95TH STREET
92,6700 S WESTERN AVENUE
93,6800 N WESTERN AVENUE
94,1200 W DEVON AVE
95,5200 N WESTERN AVE
96,2400 W 63RD ST
97,1600 W CORTLAND ST
98,3600 N HARLEM AVENUE
99,1600 E 79TH ST
100,3200 W IRVING PARK ROAD
101,2800 W NORTH AVENUE
102,4400 W OGDEN AVENUE
103,6700 S STONY ISLAND A
104,500 N COLUMBUS DRIVE
105,4400 W GRAND AVE
106,4700 S WESTERN AVENUE
107,2400 W PERSHING ROAD
108,5200 N PULASKI RD
109,6400 N MILWAUKEE AVEN
110,400 E 31ST STREET
111,3600 N WESTERN AVENUE
112,4000 W FOSTER AVE
113,7200 W BELMONT AVE
114,5600 W IRVING PARK ROAD
115,4800 N PULASKI ROAD
116,1600 W 87TH ST
117,2800 W IRVING PARK ROA
118,4000 W ROOSEVELT ROAD
119,3200 W BELMONT
120,3600 N CICERO AVENUE
121,1200 W 79TH STREET
122,4700 W IRVING PARK ROA
123,4000 N CENTRAL AVENUE
124,7900 S WESTERN AVE
125,3216 W ADDISON ST
126,5930 N CLARK STREET
127,6400 W ARCHER AVE
128,800 N WESTERN AVE
129,2400 W LAWRENCE AVENUE
130,2000 W FULLERTON AVE
131,1900 N ASHLAND AVE
132,7100 S ASHLAND
133,800 W 99TH ST
134,800 W DIVISION
135,4800 N WESTERN AVENUE
136,2800 N PULASKI ROAD
137,800 W 79TH STREET
138,3200 N CICERO AVE
139,2800 N ASHLAND AVENUE
140,2348 S KOSTNER AVENUE
141,2400 W PETERSON
142,3100 S CALIFORNIA
143,1600 W DIVERSEY PARKWA
144,7900 S COTTAGE GROVE
145,800 W 115TH STREET
146,3900 S WESTERN BLVD
147,2000 N KEDZIE AVENUE
148,7200 W ADDISON
149,3200 W DEVON AVENUE
150,2800 W 31ST
151,100 W CHICAGO AVENUE
152,5200 S CICERO AVE
153,4000 N CLARK STREET
154,4000 N ASHLAND AVENUE
155,1200 S PULASKI ROAD
156,5600 W CHICAGO AVENUE
