station,date,PRCP,SNOW,TAVG,TMAX,TMIN,city
GHCND:USW00013739,2010-01-01,0.02,0.0,,42.0,32.0,Philadelphia
GHCND:USW00013739,2010-01-02,0.0,0.0,,32.0,22.0,Philadelphia
GHCND:USW00013739,2010-01-03,0.0,0.0,,27.0,20.0,Philadelphia
GHCND:USW00013739,2010-01-04,0.0,0.0,,32.0,24.0,Philadelphia
GHCND:USW00013739,2010-01-05,0.0,0.0,,33.0,24.0,Philadelphia
GHCND:USW00013739,2010-01-06,0.0,0.0,,38.0,28.0,Philadelphia
GHCND:USW00013739,2010-01-07,0.0,0.0,,40.0,29.0,Philadelphia
GHCND:USW00013739,2010-01-08,0.03,1.0,,33.0,24.0,Philadelphia
GHCND:USW00013739,2010-01-09,0.0,0.0,,30.0,19.0,Philadelphia
GHCND:USW00013739,2010-01-10,0.0,0.0,,30.0,15.0,Philadelphia
GHCND:USW00013739,2010-01-11,0.0,0.0,,33.0,16.0,Philadelphia
GHCND:USW00013739,2010-01-12,0.0,0.0,,35.0,27.0,Philadelphia
GHCND:USW00013739,2010-01-13,0.0,0.0,,38.0,26.0,Philadelphia
GHCND:USW00013739,2010-01-14,0.0,0.0,,47.0,24.0,Philadelphia
GHCND:USW00013739,2010-01-15,0.0,0.0,,53.0,27.0,Philadelphia
GHCND:USW00013739,2010-01-16,0.0,0.0,,53.0,32.0,Philadelphia
GHCND:USW00013739,2010-01-17,0.76,0.0,,44.0,34.0,Philadelphia
GHCND:USW00013739,2010-01-18,0.0,0.0,,53.0,34.0,Philadelphia
GHCND:USW00013739,2010-01-19,0.0,0.0,,51.0,30.0,Philadelphia
GHCND:USW00013739,2010-01-20,0.0,0.0,,44.0,30.0,Philadelphia
GHCND:USW00013739,2010-01-21,0.0,0.0,,43.0,29.0,Philadelphia
GHCND:USW00013739,2010-01-22,0.0,0.0,,45.0,33.0,Philadelphia
GHCND:USW00013739,2010-01-23,0.0,0.0,,43.0,29.0,Philadelphia
GHCND:USW00013739,2010-01-24,0.02,0.0,,57.0,30.0,Philadelphia
GHCND:USW00013739,2010-01-25,1.25,0.0,,61.0,44.0,Philadelphia
GHCND:USW00013739,2010-01-26,0.01,0.0,,44.0,35.0,Philadelphia
GHCND:USW00013739,2010-01-27,0.0,0.0,,40.0,28.0,Philadelphia
GHCND:USW00013739,2010-01-28,0.0,0.0,,47.0,21.0,Philadelphia
GHCND:USW00013739,2010-01-29,0.0,0.0,,24.0,17.0,Philadelphia
GHCND:USW00013739,2010-01-30,0.1,2.1,,21.0,16.0,Philadelphia
GHCND:USW00013739,2010-01-31,0.0,0.0,,30.0,14.0,Philadelphia
GHCND:USW00013739,2010-02-01,0.0,0.0,,36.0,21.0,Philadelphia
GHCND:USW00013739,2010-02-02,0.0,0.1,,36.0,22.0,Philadelphia
GHCND:USW00013739,2010-02-03,0.02,0.5,,40.0,31.0,Philadelphia
GHCND:USW00013739,2010-02-04,0.0,0.0,,40.0,30.0,Philadelphia
GHCND:USW00013739,2010-02-05,0.55,6.6,,38.0,29.0,Philadelphia
GHCND:USW00013739,2010-02-06,1.85,21.9,,29.0,17.0,Philadelphia
GHCND:USW00013739,2010-02-07,0.0,0.0,,32.0,14.0,Philadelphia
GHCND:USW00013739,2010-02-08,0.0,0.0,,35.0,13.0,Philadelphia
GHCND:USW00013739,2010-02-09,0.55,6.5,,37.0,19.0,Philadelphia
