date,Vio_DateTime
2008-04-01,105
2008-04-02,90
2008-04-03,109
2008-04-04,121
2008-04-05,113
2008-04-06,119
2008-04-07,99
2008-04-08,111
2008-04-09,118
2008-04-10,146
2008-04-11,177
2008-04-12,147
2008-04-13,144
2008-04-14,112
2008-04-15,118
2008-04-16,113
2008-04-17,120
2008-04-18,145
2008-04-19,182
2008-04-20,136
2008-04-21,138
2008-04-22,133
2008-04-23,149
2008-04-24,137
2008-04-25,135
2008-04-26,136
2008-04-27,159
2008-04-28,155
2008-04-29,115
2008-04-30,121
2008-05-01,136
2008-05-02,177
2008-05-03,154
2008-05-04,164
2008-05-05,125
2008-05-06,116
2008-05-07,132
2008-05-08,147
2008-05-09,129
2008-05-10,162
2008-05-11,147
2008-05-12,117
2008-05-13,133
2008-05-14,140
2008-05-15,163
2008-05-16,169
2008-05-17,178
2008-05-18,141
2008-05-19,156
2008-05-20,124
2008-05-21,165
2008-05-22,141
2008-05-23,96
2008-05-24,121
2008-05-25,127
2008-05-26,120
2008-05-27,134
2008-05-28,120
2008-05-29,126
2008-05-30,171
2008-05-31,153
2008-06-01,157
2008-06-02,150
2008-06-03,125
2008-06-04,155
2008-06-05,146
2008-06-06,158
2008-06-07,144
2008-06-08,123
2008-06-09,131
2008-06-10,129
2008-06-11,139
2008-06-12,166
2008-06-13,137
2008-06-14,176
2008-06-15,131
2008-06-16,129
2008-06-17,114
2008-06-18,132
2008-06-19,125
2008-06-20,115
2008-06-21,140
2008-06-22,140
2008-06-23,129
2008-06-24,103
2008-06-25,112
2008-06-26,118
2008-06-27,135
2008-06-28,125
2008-06-29,74
2008-06-30,54
2008-07-01,144
2008-07-02,284
2008-07-03,245
2008-07-04,276
2008-07-05,260
2008-07-06,358
2008-07-07,308
2008-07-08,284
2008-07-09,330
2008-07-10,284
2008-07-11,315
2008-07-12,347
2008-07-13,361
2008-07-14,265
2008-07-15,313
2008-07-16,327
2008-07-17,313
2008-07-18,337
2008-07-19,394
2008-07-20,404
2008-07-21,317
2008-07-22,329
2008-07-23,295
2008-07-24,275
2008-07-25,12
2008-07-27,173
2008-07-28,108
2008-07-29,123
2008-08-04,178
2008-08-05,364
2008-08-06,154
2008-08-10,407
2008-08-11,256
2008-08-12,320
2008-08-14,125
2008-08-16,144
2008-08-17,385
2008-08-18,379
2008-08-19,298
2008-08-20,164
2008-08-21,256
2008-08-30,3
2008-08-31,2
2008-09-05,52
2008-09-09,107
2008-09-10,303
2008-09-11,281
2008-09-12,262
2008-09-13,246
2008-09-14,269
2008-09-15,171
2008-09-16,276
2008-09-17,327
2008-09-18,321
2008-09-19,368
2008-09-20,339
2008-09-21,381
2008-09-22,298
2008-09-23,288
2008-09-24,233
2008-09-25,265
2008-09-26,288
2008-09-27,401
2008-09-28,372
2008-09-29,285
2008-09-30,312
2008-10-01,336
2008-10-02,364
2008-10-03,369
2008-10-04,378
2008-10-05,368
2008-10-06,275
2008-10-07,293
2008-10-08,361
2008-10-09,393
2008-10-10,402
2008-10-11,481
2008-10-12,424
2008-10-13,358
2008-10-14,362
2008-10-15,378
2008-10-16,384
2008-10-17,421
2008-10-18,484
2008-10-19,467
2008-10-20,305
2008-10-21,324
2008-10-22,361
2008-10-23,313
2008-10-24,365
2008-10-25,436
2008-10-26,440
2008-10-27,339
2008-10-28,354
2008-10-29,390
2008-10-30,408
2008-10-31,410
2008-11-01,516
2008-11-02,473
2008-11-03,377
2008-11-04,294
2008-11-05,314
2008-11-06,353
2008-11-07,340
2008-11-08,438
2008-11-09,429
2008-11-10,331
2008-11-11,295
2008-11-12,257
2008-11-13,302
2008-11-14,282
2008-11-15,439
2008-11-16,320
2008-11-17,270
2008-11-18,255
2008-11-19,323
2008-11-20,353
2008-11-21,392
2008-11-22,432
2008-11-23,377
2008-11-24,290
2008-11-25,367
2008-11-26,415
2008-11-27,428
2008-11-28,345
2008-11-29,278
2008-11-30,396
2008-12-01,318
2008-12-02,339
2008-12-03,327
2008-12-04,285
2008-12-05,397
2008-12-06,391
2008-12-07,428
2008-12-08,293
2008-12-09,270
2008-12-10,222
2008-12-11,182
2008-12-12,286
2008-12-13,356
2008-12-14,322
2008-12-15,242
2008-12-16,280
2008-12-17,253
2008-12-18,324
2008-12-19,295
2008-12-20,315
2008-12-21,318
2008-12-22,271
2008-12-23,287
2008-12-24,305
2008-12-25,263
2008-12-26,334
2008-12-27,312
2008-12-28,295
2008-12-29,245
2008-12-30,198
2008-12-31,290
2009-01-01,306
2009-01-02,275
2009-01-03,247
2009-01-04,259
2009-01-05,220
2009-01-06,212
2009-01-07,257
2009-01-08,225
2009-01-09,280
2009-01-10,302
2009-01-11,324
2009-01-12,259
2009-01-13,212
2009-01-14,231
2009-01-15,218
2009-01-16,244
2009-01-17,316
2009-01-18,255
2009-01-19,258
2009-01-20,224
2009-01-21,247
2009-01-22,241
2009-01-23,235
2009-01-24,248
2009-01-25,283
2009-01-26,218
2009-01-27,197
2009-01-28,226
2009-01-29,246
2009-01-30,245
2009-01-31,320
2009-02-01,279
2009-02-02,161
2009-02-03,236
2009-02-04,215
2009-02-05,221
2009-02-06,227
2009-02-07,306
2009-02-08,283
2009-02-09,145
2009-02-10,135
2009-02-11,208
2009-02-12,235
2009-02-13,213
2009-02-14,265
2009-02-15,296
2009-02-16,226
2009-02-17,225
2009-02-18,196
2009-02-19,208
2009-02-20,243
2009-02-21,241
2009-02-22,374
2009-02-23,298
2009-02-24,354
2009-02-25,279
2009-02-26,260
2009-02-27,233
2009-02-28,245
2009-03-01,234
2009-03-02,222
2009-03-03,238
2009-03-04,229
2009-03-05,236
2009-03-06,268
2009-03-07,364
2009-03-08,323
2009-03-09,251
2009-03-10,238
2009-03-11,251
2009-03-12,255
2009-03-13,272
2009-03-14,250
2009-03-15,286
2009-03-16,208
2009-03-17,248
2009-03-18,239
2009-03-19,227
2009-03-20,275
2009-03-21,337
2009-03-22,353
2009-03-23,235
2009-03-24,231
2009-03-25,234
2009-03-26,218
2009-03-27,177
2009-03-28,220
2009-03-29,259
2009-03-30,180
2009-03-31,163
2009-04-01,194
2009-04-02,243
2009-04-03,283
2009-04-04,319
2009-04-05,284
2009-04-06,207
2009-04-07,260
2009-04-08,236
2009-04-09,236
2009-04-10,296
2009-04-11,313
2009-04-12,283
2009-04-13,218
2009-04-14,217
2009-04-15,212
2009-04-16,220
2009-04-17,244
2009-04-18,275
2009-04-19,262
2009-04-20,194
2009-04-21,210
2009-04-22,228
2009-04-23,234
2009-04-24,238
2009-04-25,275
2009-04-26,276
2009-04-27,180
2009-04-28,220
2009-04-29,213
2009-04-30,197
2009-05-01,220
2009-05-02,295
2009-05-03,255
2009-05-04,225
2009-05-05,289
2009-05-06,291
2009-05-07,307
2009-05-08,315
2009-05-09,403
2009-05-10,457
2009-05-11,332
2009-05-12,295
2009-05-13,313
2009-05-14,321
2009-05-15,363
2009-05-16,365
2009-05-17,336
2009-05-18,264
2009-05-19,329
2009-05-20,330
2009-05-21,344
2009-05-22,410
2009-05-23,403
2009-05-24,396
2009-05-25,273
2009-05-26,334
2009-05-27,348
2009-05-28,389
2009-05-29,350
2009-05-30,446
2009-05-31,418
2009-06-01,345
2009-06-02,302
2009-06-03,272
2009-06-04,318
2009-06-05,328
2009-06-06,438
2009-06-07,364
2009-06-08,282
2009-06-09,389
2009-06-10,325
2009-06-11,325
2009-06-12,387
2009-06-13,429
2009-06-14,486
2009-06-15,392
2009-06-16,398
2009-06-17,368
2009-06-18,371
2009-06-19,398
2009-06-20,479
2009-06-21,459
2009-06-22,340
2009-06-23,364
2009-06-24,347
2009-06-25,322
2009-06-26,325
2009-06-27,377
2009-06-28,355
2009-06-29,264
2009-06-30,343
2009-07-01,375
2009-07-02,387
2009-07-03,427
2009-07-04,391
2009-07-05,371
2009-07-06,347
2009-07-07,294
2009-07-08,307
2009-07-09,340
2009-07-10,339
2009-07-11,416
2009-07-12,339
2009-07-13,367
2009-07-14,319
2009-07-15,322
2009-07-16,287
2009-07-17,208
2009-07-18,327
2009-07-19,298
2009-07-20,208
2009-07-21,202
2009-07-22,234
2009-07-23,239
2009-07-24,273
2009-07-25,282
2009-07-26,253
2009-07-27,219
2009-07-28,241
2009-07-29,314
2009-07-30,324
2009-07-31,273
2009-08-01,341
2009-08-02,310
2009-08-03,273
2009-08-04,299
2009-08-05,310
2009-08-06,336
2009-08-07,357
2009-08-08,328
2009-08-09,286
2009-08-10,214
2009-08-11,224
2009-08-12,250
2009-08-13,203
2009-08-14,295
