Issue Date,State
2015-08-01,1
2016-01-20,1
2016-02-29,1
2016-04-24,2
2016-04-26,1
2016-04-27,1
2016-04-28,3
2016-04-29,757
2016-04-30,1624
2016-05-01,1037
2016-05-02,1013
2016-05-03,991
2016-05-04,996
2016-05-05,1089
2016-05-06,1167
2016-05-07,1424
2016-05-08,1657
2016-05-09,1259
2016-05-10,1188
2016-05-11,1330
2016-05-12,1385
2016-05-13,1136
2016-05-14,1641
2016-05-15,1590
2016-05-16,1417
2016-05-17,1194
2016-05-18,1372
2016-05-19,1350
2016-05-20,1531
2016-05-21,1485
2016-05-22,1605
2016-05-23,1282
2016-05-24,1102
2016-05-25,1576
2016-05-26,1589
2016-05-27,1595
2016-05-28,1717
2016-05-29,1727
2016-05-30,1145
2016-05-31,1383
2016-06-01,1544
2016-06-02,1495
2016-06-03,1247
2016-06-04,1780
2016-06-05,1259
2016-06-06,1530
2016-06-07,1394
2016-06-08,1386
2016-06-09,1672
2016-06-10,1786
2016-06-11,1805
2016-06-12,1786
2016-06-13,1324
2016-06-14,1570
2016-06-15,1760
2016-06-16,1377
2016-06-17,1729
2016-06-18,2170
2016-06-19,2196
2016-06-20,1574
2016-06-21,1515
2016-06-22,1715
2016-06-23,1312
2016-06-24,1585
2016-06-25,2081
2016-06-26,2042
2016-06-27,1519
2016-06-28,1166
2016-06-29,1708
2016-06-30,1716
2016-07-01,1419
2016-07-02,1599
2016-07-03,1418
2016-07-04,1255
2016-07-05,1436
2016-07-06,1595
2016-07-07,1312
2016-07-08,1394
2016-07-09,1215
2016-07-10,1493
2016-07-11,1495
2016-07-12,1482
2016-07-13,1326
2016-07-14,1546
2016-07-15,1664
2016-07-16,1684
2016-07-17,1769
2016-07-18,1343
2016-07-19,1530
2016-07-20,1573
2016-07-21,1638
2016-07-22,1682
2016-07-23,1930
2016-07-24,1727
2016-07-25,1218
2016-07-26,1552
2016-07-27,1390
2016-07-28,1465
2016-07-29,1441
2016-07-30,1542
2016-07-31,1281
2016-08-01,1086
2016-08-02,1192
2016-08-03,1541
2016-08-04,1597
2016-08-05,1561
2016-08-06,1467
2016-08-07,1736
2016-08-08,1434
2016-08-09,1452
2016-08-10,1232
2016-08-11,1395
2016-08-12,1565
2016-08-13,1701
2016-08-14,1460
2016-08-15,1500
2016-08-16,1428
2016-08-17,1508
2016-08-18,1294
2016-08-19,1434
2016-08-20,1774
2016-08-21,1354
2016-08-22,1450
2016-08-23,1497
2016-08-24,1436
2016-08-25,1386
2016-08-26,1565
2016-08-27,1983
2016-08-28,1770
2016-08-29,1426
2016-08-30,1454
2016-08-31,1289
2016-09-01,1182
2016-09-02,1536
2016-09-03,1419
2016-09-04,1438
2016-09-05,1255
2016-09-06,1211
2016-09-07,1279
2016-09-08,1394
2016-09-09,1474
2016-09-10,1778
2016-09-11,1629
2016-09-12,1527
2016-09-13,1491
2016-09-14,1498
2016-09-15,1653
2016-09-16,1636
2016-09-17,1808
2016-09-18,1504
2016-09-19,1051
2016-09-20,1318
2016-09-21,1430
2016-09-22,1626
2016-09-23,1733
2016-09-24,1749
2016-09-25,1739
2016-09-26,1409
2016-09-27,1334
2016-09-28,1205
2016-09-29,1142
2016-09-30,1086
2016-10-01,1302
2016-10-02,1226
2016-10-03,1105
2016-10-04,1090
2016-10-05,1442
2016-10-06,1579
2016-10-07,1609
2016-10-08,1363
2016-10-09,1114
2016-10-10,1316
2016-10-11,1382
2016-10-12,995
2016-10-13,1299
2016-10-14,1605
2016-10-15,1884
2016-10-16,1575
2016-10-17,1170
2016-10-18,1313
2016-10-19,1462
2016-10-20,1344
2016-10-21,1307
2016-10-22,1206
2016-10-23,1572
2016-10-24,1167
2016-10-25,1170
2016-10-26,1355
2016-10-27,1037
2016-10-28,1474
2016-10-29,1528
2016-10-30,1395
2016-10-31,1274
2016-11-01,1372
2016-11-02,1337
2016-11-03,1123
2016-11-04,1632
2016-11-05,1757
2016-11-06,1402
2016-11-07,1345
2016-11-08,1348
2016-11-09,982
2016-11-10,1599
2016-11-11,1509
2016-11-12,1601
2016-11-13,1538
2016-11-14,1211
2016-11-15,1045
2016-11-16,1265
2016-11-17,1444
2016-11-18,1566
2016-11-19,1558
2016-11-20,1196
2016-11-21,1216
2016-11-22,1512
2016-11-23,1503
2016-11-24,1319
2016-11-25,1004
2016-11-26,1287
2016-11-27,1378
2016-11-28,1219
2016-11-29,1018
2016-11-30,1029
2016-12-01,1300
2016-12-02,1327
2016-12-03,1472
2016-12-04,1412
2016-12-05,1275
2016-12-06,1035
2016-12-07,1093
2016-12-08,1139
2016-12-09,1456
2016-12-10,1397
2016-12-11,1207
2016-12-12,1043
2016-12-13,1127
2016-12-14,1266
2016-12-15,1209
2016-12-16,1284
2016-12-17,1096
2016-12-18,1113
2016-12-19,1215
2016-12-20,1420
2016-12-21,1148
2016-12-22,1248
2016-12-23,1417
2016-12-24,1162
2016-12-25,1268
2016-12-27,1151
2016-12-28,1050
2016-12-29,969
2016-12-30,1139
2016-12-31,1000
2017-01-01,1225
2017-01-02,736
2017-01-03,704
2017-01-04,1011
2017-01-05,917
2017-01-06,975
2017-01-07,491
2017-01-08,807
2017-01-09,770
2017-01-10,894
2017-01-11,962
2017-01-12,1046
2017-01-13,1164
2017-01-14,1074
2017-01-15,1158
2017-01-16,1016
2017-01-17,835
2017-01-18,945
2017-01-19,997
2017-01-20,903
2017-01-21,1011
2017-01-22,828
2017-01-23,699
2017-01-24,744
2017-01-25,1077
2017-01-26,1012
2017-01-27,1101
2017-01-28,1131
2017-01-29,1121
2017-01-30,1042
2017-01-31,850
2017-02-01,912
2017-02-02,947
2017-02-03,951
2017-02-04,1255
2017-02-05,973
2017-02-06,1085
2017-02-07,824
2017-02-08,1134
2017-02-09,269
2017-02-10,835
2017-02-11,940
2017-02-12,799
2017-02-13,927
2017-02-14,1019
2017-02-15,952
2017-02-16,1105
2017-02-17,1269
2017-02-18,1395
2017-02-19,1328
2017-02-20,1150
2017-02-21,1035
2017-02-22,920
2017-02-23,1083
2017-02-24,1270
2017-02-25,1234
2017-02-26,1307
2017-02-27,1086
2017-02-28,1077
2017-03-01,897
2017-03-02,1382
2017-03-03,1297
2017-03-04,1392
2017-03-05,1395
2017-03-06,1066
2017-03-07,979
2017-03-08,1210
2017-03-09,1315
2017-03-10,977
2017-03-11,1294
2017-03-12,1328
2017-03-13,1268
2017-03-14,182
2017-03-15,752
2017-03-16,1128
2017-03-17,1269
2017-03-18,967
2017-03-19,1359
